Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,645,7740,USD,"Data transfer out to internet (5120 GB per month), Number of requests (HTTPS) (5000000 per month), Data transfer out to origin (10240 GB per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,260.52,3126.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Amazon EC2,0,1673.96,20087.52,USD,"Operating system (Linux), Quantity (4), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (1 TB), Instance type (m5a.4xlarge)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,7310,2964.312,42881.74,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (10 TB), Quantity (2), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (Reserved 1yr Partial Upfront)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,250.02,3000.24,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,606.29,7275.48,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,93.34,1120.08,USD,Number of NAT Gateways (2)
,,,,Total Month,6493.442,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
Change,,,,,,,,
1,Change EC2 from on demand to reversed for 1 year,,,,,,,
2,Change RDS instance to 1 resersed for 1 year,,,,,,,
